Source,Target,Weight,Emiten,Position,Company
 SETIA BUDI PURWADI ,SURYA TOTO INDONESIA TBK.,4,TOTO, COMMISSIONER  - INDEPENDENT,SURYA TOTO INDONESIA TBK.
  ,SARANA MENARA NUSANTARA TBK.,4,TOWR, PRESIDENT COMMISIONER ,SARANA MENARA NUSANTARA TBK.
 KUSMAYANTO KADIMAN ,SARANA MENARA NUSANTARA TBK.,4,TOWR, COMMISSIONER  - INDEPENDENT,SARANA MENARA NUSANTARA TBK.
 ARIO WIBISONO ,SARANA MENARA NUSANTARA TBK.,4,TOWR, COMMISSIONER ,SARANA MENARA NUSANTARA TBK.
 JOHN ARISTIANTO PRASETIO ,SARANA MENARA NUSANTARA TBK.,4,TOWR, COMMISSIONER  - INDEPENDENT,SARANA MENARA NUSANTARA TBK.
 KENNY HARJO ,SARANA MENARA NUSANTARA TBK.,4,TOWR, PRESIDENT COMMISIONER ,SARANA MENARA NUSANTARA TBK.
 TATI OETOJO ,SUNINDO ADIPERSADA TBK.,4,TOYS, PRESIDENT COMMISIONER ,SUNINDO ADIPERSADA TBK.
 REYNARD M. POERNAWAN ,SUNINDO ADIPERSADA TBK.,4,TOYS, COMMISSIONER  - INDEPENDENT,SUNINDO ADIPERSADA TBK.
 TAN EK KIA ,CHANDRA ASRI PACIFIC TBK.,4,TPIA, VICE PRESIDENT COMMISIONER  - INDEPENDENT,CHANDRA ASRI PACIFIC TBK.
 HO HON CHEONG ,CHANDRA ASRI PACIFIC TBK.,4,TPIA, COMMISSIONER  - INDEPENDENT,CHANDRA ASRI PACIFIC TBK.
 AGUS SALIM PANGESTU ,CHANDRA ASRI PACIFIC TBK.,4,TPIA, COMMISSIONER ,CHANDRA ASRI PACIFIC TBK.
 LIM CHONG THIAN ,CHANDRA ASRI PACIFIC TBK.,4,TPIA, COMMISSIONER ,CHANDRA ASRI PACIFIC TBK.
 SAKCHAI PATIPARNPREECHAVUD ,CHANDRA ASRI PACIFIC TBK.,4,TPIA, COMMISSIONER ,CHANDRA ASRI PACIFIC TBK.
 PONGPUN AMORNVIVAT ,CHANDRA ASRI PACIFIC TBK.,4,TPIA, COMMISSIONER ,CHANDRA ASRI PACIFIC TBK.
 RUNGNAPA JANCHOOKIAT ,CHANDRA ASRI PACIFIC TBK.,4,TPIA, COMMISSIONER ,CHANDRA ASRI PACIFIC TBK.
 DJOKO SUYANTO ,CHANDRA ASRI PACIFIC TBK.,4,TPIA, PRESIDENT COMMISIONER  - INDEPENDENT,CHANDRA ASRI PACIFIC TBK.
 IBU HONGISISILIA ,TRANS POWER MARINE TBK.,4,TPMA, COMMISSIONER  - INDEPENDENT,TRANS POWER MARINE TBK.
 I. ADE SUNDARI P. ,TRANS POWER MARINE TBK.,4,TPMA, PRESIDENT COMMISIONER ,TRANS POWER MARINE TBK.
NOT FOUND,TRADA ALAM MINERA TBK.,4,TRAM,,TRADA ALAM MINERA TBK.
 HONDRO WIDJAJA ,CERESTAR INDONESIA TBK.,4,TRGU, PRESIDENT COMMISIONER ,CERESTAR INDONESIA TBK.
 KADIR WIDJAJA ,CERESTAR INDONESIA TBK.,4,TRGU, COMMISSIONER ,CERESTAR INDONESIA TBK.
 AGUS SOETOPO ,CERESTAR INDONESIA TBK.,4,TRGU, COMMISSIONER ,CERESTAR INDONESIA TBK.
 HARRIS THANY ,CERESTAR INDONESIA TBK.,4,TRGU, COMMISSIONER  - INDEPENDENT,CERESTAR INDONESIA TBK.
 ANTONIUS ,CERESTAR INDONESIA TBK.,4,TRGU, COMMISSIONER  - INDEPENDENT,CERESTAR INDONESIA TBK.
 YUDHI ASMARA YASMINE ,TRIWIRA INSANLESTARI TBK.,4,TRIL, COMMISSIONER  - INDEPENDENT,TRIWIRA INSANLESTARI TBK.
 HENRY ,TRIWIRA INSANLESTARI TBK.,4,TRIL, COMMISSIONER ,TRIWIRA INSANLESTARI TBK.
 EINDRATA TANUKUSUMA ,TRIWIRA INSANLESTARI TBK.,4,TRIL, PRESIDENT COMMISIONER ,TRIWIRA INSANLESTARI TBK.
 ROFIKOH ROKHIM ,TRIMEGAH SEKURITAS INDONESIA TBK.,4,TRIM, PRESIDENT COMMISIONER  - INDEPENDENT,TRIMEGAH SEKURITAS INDONESIA TBK.
 EDY SUGITO ,TRIMEGAH SEKURITAS INDONESIA TBK.,4,TRIM, COMMISSIONER  - INDEPENDENT,TRIMEGAH SEKURITAS INDONESIA TBK.
 RAHAYU SARASWATI DJOJOHADIKUSUMO ,PERINTIS TRINITI PROPERTI TBK.,4,TRIN, PRESIDENT COMMISIONER ,PERINTIS TRINITI PROPERTI TBK.
 SEPTIAN STARLIN ,PERINTIS TRINITI PROPERTI TBK.,4,TRIN, COMMISSIONER ,PERINTIS TRINITI PROPERTI TBK.
" DR. IR. MATIUS JUSUF MM, MBA ",PERINTIS TRINITI PROPERTI TBK.,4,TRIN, COMMISSIONER ,PERINTIS TRINITI PROPERTI TBK.
 HENRY SUSANTO ,PERINTIS TRINITI PROPERTI TBK.,4,TRIN, COMMISSIONER  - INDEPENDENT,PERINTIS TRINITI PROPERTI TBK.
 DEDET YANDRINAL ,TRIKOMSEL OKE TBK.,4,TRIO, PRESIDENT COMMISIONER ,TRIKOMSEL OKE TBK.
 HERMIN HARTONO ,TRIKOMSEL OKE TBK.,4,TRIO, COMMISSIONER  - INDEPENDENT,TRIKOMSEL OKE TBK.
 TJHOI LISA TJAHJADI ,TRISULA INTERNATIONAL TBK.,4,TRIS, PRESIDENT COMMISIONER ,TRISULA INTERNATIONAL TBK.
 FENDY SUTANTO ,TRISULA INTERNATIONAL TBK.,4,TRIS, COMMISSIONER  - INDEPENDENT,TRISULA INTERNATIONAL TBK.
 JEONG SUBOK ,TRANSKON JAYA TBK.,4,TRJA, PRESIDENT COMMISIONER ,TRANSKON JAYA TBK.
 KIM HYOYEOL ,TRANSKON JAYA TBK.,4,TRJA, COMMISSIONER ,TRANSKON JAYA TBK.
 R. HESTHI SAMBODO ,TRANSKON JAYA TBK.,4,TRJA, COMMISSIONER  - INDEPENDENT,TRANSKON JAYA TBK.
 NOERMAN TAUFIK ,TEKNOLOGI KARYA DIGITAL NUSA TBK.,4,TRON, COMMISSIONER  - INDEPENDENT,TEKNOLOGI KARYA DIGITAL NUSA TBK.
 DRS.THOMSON E BATUBA ,TEKNOLOGI KARYA DIGITAL NUSA TBK.,4,TRON, COMMISSIONER ,TEKNOLOGI KARYA DIGITAL NUSA TBK.
 MIRZA WHIBOWO SOENARTO ,TEKNOLOGI KARYA DIGITAL NUSA TBK.,4,TRON, PRESIDENT COMMISIONER ,TEKNOLOGI KARYA DIGITAL NUSA TBK.
 KINDARTO KOHAR ,TRIAS SENTOSA TBK.,4,TRST, PRESIDENT COMMISIONER ,TRIAS SENTOSA TBK.
 SUGENG KURNIAWAN ,TRIAS SENTOSA TBK.,4,TRST, COMMISSIONER ,TRIAS SENTOSA TBK.
 KETUT SUMARWAN ,TRIAS SENTOSA TBK.,4,TRST, COMMISSIONER  - INDEPENDENT,TRIAS SENTOSA TBK.
 HERIYANTO ,TRINITI DINAMIK TBK.,4,TRUE, PRESIDENT COMMISIONER ,TRINITI DINAMIK TBK.
