Source,Target,Weight,Emiten,Position,Company
 J. CHRIST DWIYANTO ,KARYA BERSAMA ANUGERAH TBK.,5,KBAG, DIRECTOR ,KARYA BERSAMA ANUGERAH TBK.
 HERMAN NURSALIM ,KMI WIRE & CABLE TBK.,5,KBLI, PRESIDENT DIRECTOR ,KMI WIRE & CABLE TBK.
 LILI ,KMI WIRE & CABLE TBK.,5,KBLI, VICE PRESIDEN DIRECTOR ,KMI WIRE & CABLE TBK.
 LIM FUI LIONG ,KMI WIRE & CABLE TBK.,5,KBLI, DIRECTOR ,KMI WIRE & CABLE TBK.
 ILHAM ,KMI WIRE & CABLE TBK.,5,KBLI, DIRECTOR ,KMI WIRE & CABLE TBK.
 IRWAN MANDRAWAN ,KMI WIRE & CABLE TBK.,5,KBLI, DIRECTOR ,KMI WIRE & CABLE TBK.
 ELLY SOEPONO ,KABELINDO MURNI TBK.,5,KBLM, PRESIDENT DIRECTOR ,KABELINDO MURNI TBK.
 VERONICA LUKMAN ,KABELINDO MURNI TBK.,5,KBLM, DIRECTOR ,KABELINDO MURNI TBK.
 PETRUS NUGROHO DWISANTOSO ,KABELINDO MURNI TBK.,5,KBLM, DIRECTOR ,KABELINDO MURNI TBK.
 SYARWANI HARUN ,KABELINDO MURNI TBK.,5,KBLM, DIRECTOR ,KABELINDO MURNI TBK.
 HARIANDA NOERLAN ,FIRST MEDIA TBK.,5,KBLV, PRESIDENT DIRECTOR ,FIRST MEDIA TBK.
 JOHANNES TONG ,FIRST MEDIA TBK.,5,KBLV, DIRECTOR ,FIRST MEDIA TBK.
 RUSBIANTO WIJAYA ,FIRST MEDIA TBK.,5,KBLV, DIRECTOR ,FIRST MEDIA TBK.
 PERMADI AL SUHARTO ,KEDAWUNG SETIA INDUSTRIAL TBK.,5,KDSI, PRESIDENT DIRECTOR ,KEDAWUNG SETIA INDUSTRIAL TBK.
 ANDI SUBROTO ,KEDAWUNG SETIA INDUSTRIAL TBK.,5,KDSI, DIRECTOR ,KEDAWUNG SETIA INDUSTRIAL TBK.
 XAVERIUS NURSALIM ,PURI SENTUL PERMAI TBK.,5,KDTN, PRESIDENT DIRECTOR ,PURI SENTUL PERMAI TBK.
 ROLF B. POHAN ,PURI SENTUL PERMAI TBK.,5,KDTN, DIRECTOR ,PURI SENTUL PERMAI TBK.
 IRENE NURSALIM ,PURI SENTUL PERMAI TBK.,5,KDTN, DIRECTOR ,PURI SENTUL PERMAI TBK.
 WILSON MAKNAWI ,KENCANA ENERGI LESTARI TBK.,5,KEEN, PRESIDENT DIRECTOR ,KENCANA ENERGI LESTARI TBK.
 RUSMIN CAHYADI ,KENCANA ENERGI LESTARI TBK.,5,KEEN, DIRECTOR ,KENCANA ENERGI LESTARI TBK.
 IR. KAREL SAMPE PAJUNG ,KENCANA ENERGI LESTARI TBK.,5,KEEN, DIRECTOR ,KENCANA ENERGI LESTARI TBK.
 GIAT WIDJAJA ,KENCANA ENERGI LESTARI TBK.,5,KEEN, DIRECTOR ,KENCANA ENERGI LESTARI TBK.
 TAKASAWA KAZUNORI ,KENCANA ENERGI LESTARI TBK.,5,KEEN, DIRECTOR ,KENCANA ENERGI LESTARI TBK.
 INDRASENA PATMAWIDJAJA ,MULIA BOGA RAYA TBK.,5,KEJU, PRESIDENT DIRECTOR ,MULIA BOGA RAYA TBK.
 JEFFRY HALIM ,MULIA BOGA RAYA TBK.,5,KEJU, DIRECTOR ,MULIA BOGA RAYA TBK.
 ARI SUTANTO ,MULIA BOGA RAYA TBK.,5,KEJU, DIRECTOR ,MULIA BOGA RAYA TBK.
 RANDY RINALDI CHANDRA SUWITA ,MULIA BOGA RAYA TBK.,5,KEJU, DIRECTOR ,MULIA BOGA RAYA TBK.
 ALAMJIT SINGH SEKHON ,MULIA BOGA RAYA TBK.,5,KEJU, DIRECTOR ,MULIA BOGA RAYA TBK.
 TITUS DONDI PATRIA ARNABAJU ,KETROSDEN TRIASMITRA TBK.,5,KETR, PRESIDENT DIRECTOR ,KETROSDEN TRIASMITRA TBK.
 VIDCY OCTORY ,KETROSDEN TRIASMITRA TBK.,5,KETR, DIRECTOR ,KETROSDEN TRIASMITRA TBK.
 DANI SAMSUL EPENDI ,KETROSDEN TRIASMITRA TBK.,5,KETR, DIRECTOR ,KETROSDEN TRIASMITRA TBK.
 BOONYARIT JAIYA ,KERAMIKA INDONESIA ASSOSIASI TBK.,5,KIAS, PRESIDENT DIRECTOR ,KERAMIKA INDONESIA ASSOSIASI TBK.
 SUSALAK KHIEW-ORN ,KERAMIKA INDONESIA ASSOSIASI TBK.,5,KIAS, DIRECTOR ,KERAMIKA INDONESIA ASSOSIASI TBK.
 GUNARSO ,KERAMIKA INDONESIA ASSOSIASI TBK.,5,KIAS, DIRECTOR ,KERAMIKA INDONESIA ASSOSIASI TBK.
 SETYONO DJUANDI DARMONO ,KAWASAN INDUSTRI JABABEKA TBK.,5,KIJA, PRESIDENT DIRECTOR ,KAWASAN INDUSTRI JABABEKA TBK.
 TEDJO BUDIANTO LIMAN ,KAWASAN INDUSTRI JABABEKA TBK.,5,KIJA, VICE PRESIDENT ,KAWASAN INDUSTRI JABABEKA TBK.
 TJAHJADI RAHARDJA ,KAWASAN INDUSTRI JABABEKA TBK.,5,KIJA, DIRECTOR ,KAWASAN INDUSTRI JABABEKA TBK.
 HYANTO WIHADHI ,KAWASAN INDUSTRI JABABEKA TBK.,5,KIJA, DIRECTOR ,KAWASAN INDUSTRI JABABEKA TBK.
 RUDY JAPARTO ,HOFFMEN CLEANINDO TBK.,5,KING, PRESIDENT DIRECTOR ,HOFFMEN CLEANINDO TBK.
 ALBERT SUTANTO ,HOFFMEN CLEANINDO TBK.,5,KING, DIRECTOR ,HOFFMEN CLEANINDO TBK.
 HARRY SANUSI ,KINO INDONESIA TBK.,5,KINO, PRESIDENT DIRECTOR ,KINO INDONESIA TBK.
 BUDI SUSANTO ,KINO INDONESIA TBK.,5,KINO, DIRECTOR ,KINO INDONESIA TBK.
 KURDI GUNAWAN ,KINO INDONESIA TBK.,5,KINO, DIRECTOR ,KINO INDONESIA TBK.
 VEBBYNA DEWIANTI ,KINO INDONESIA TBK.,5,KINO, DIRECTOR ,KINO INDONESIA TBK.
 ANGGARA ANDRIAN LINANDA ,KINO INDONESIA TBK.,5,KINO, DIRECTOR ,KINO INDONESIA TBK.
 NURINDRA PRAWARIANTO ,KINO INDONESIA TBK.,5,KINO, DIRECTOR ,KINO INDONESIA TBK.
 ORNELA BARTIN SUTAN GIRI ,KIOSON KOMERSIAL INDONESIA TBK.,5,KIOS, PRESIDENT DIRECTOR ,KIOSON KOMERSIAL INDONESIA TBK.
 REGINALD TRISNA ,KIOSON KOMERSIAL INDONESIA TBK.,5,KIOS, DIRECTOR ,KIOSON KOMERSIAL INDONESIA TBK.
 SUNARTO ,KRIDA JARINGAN NUSANTARA TBK.,5,KJEN, PRESIDENT DIRECTOR ,KRIDA JARINGAN NUSANTARA TBK.
 FARIDA SULISTYORINI ,KRIDA JARINGAN NUSANTARA TBK.,5,KJEN, DIRECTOR ,KRIDA JARINGAN NUSANTARA TBK.
 DRS. KIKI RUSMIN SADRACH ,KUSUMA KEMINDO SENTOSA TBK.,5,KKES, PRESIDENT DIRECTOR ,KUSUMA KEMINDO SENTOSA TBK.
 MELLY ELITA ,KUSUMA KEMINDO SENTOSA TBK.,5,KKES, DIRECTOR ,KUSUMA KEMINDO SENTOSA TBK.
 PINTARSO ADIJANTO ,RESOURCE ALAM INDONESIA TBK.,5,KKGI, PRESIDENT DIRECTOR ,RESOURCE ALAM INDONESIA TBK.
 AGOES SOEGIARTO SOEPARMAN ,RESOURCE ALAM INDONESIA TBK.,5,KKGI, DIRECTOR ,RESOURCE ALAM INDONESIA TBK.
 WIMPI SALIM ,RESOURCE ALAM INDONESIA TBK.,5,KKGI, DIRECTOR ,RESOURCE ALAM INDONESIA TBK.
 WINANTO ,RESOURCE ALAM INDONESIA TBK.,5,KKGI, DIRECTOR ,RESOURCE ALAM INDONESIA TBK.
 EDDY ,RESOURCE ALAM INDONESIA TBK.,5,KKGI, DIRECTOR ,RESOURCE ALAM INDONESIA TBK.
 TAN YING MEI ,RESOURCE ALAM INDONESIA TBK.,5,KKGI, DIRECTOR ,RESOURCE ALAM INDONESIA TBK.
 KURNYATJAN SAKTI EFENDIE ,PELAYARAN KURNIA LAUTAN SEMESTA TBK.,5,KLAS, PRESIDENT DIRECTOR ,PELAYARAN KURNIA LAUTAN SEMESTA TBK.
 NOVI SUSANTI ,PELAYARAN KURNIA LAUTAN SEMESTA TBK.,5,KLAS, DIRECTOR ,PELAYARAN KURNIA LAUTAN SEMESTA TBK.
 BERNADETTE RUTH IRAWATI SETIADY ,KALBE FARMA TBK.,5,KLBF, PRESIDENT DIRECTOR ,KALBE FARMA TBK.
 SIE DJOHAN ,KALBE FARMA TBK.,5,KLBF, DIRECTOR ,KALBE FARMA TBK.
 MULIALIE ,KALBE FARMA TBK.,5,KLBF, DIRECTOR ,KALBE FARMA TBK.
 JOS IWAN ATMADJAJA ,KALBE FARMA TBK.,5,KLBF, DIRECTOR ,KALBE FARMA TBK.
 KARTIKA SETIABUDY ,KALBE FARMA TBK.,5,KLBF, DIRECTOR ,KALBE FARMA TBK.
 DELICIA GUNAWAN ,KLINKO KARYA IMAJI TBK.,5,KLIN, PRESIDENT DIRECTOR ,KLINKO KARYA IMAJI TBK.
 RASINI ,KLINKO KARYA IMAJI TBK.,5,KLIN, DIRECTOR ,KLINKO KARYA IMAJI TBK.
 HENGKY WIJAYA ,KURNIAMITRA DUTA SENTOSA TBK.,5,KMDS, PRESIDENT DIRECTOR ,KURNIAMITRA DUTA SENTOSA TBK.
 MARJUKY ,KURNIAMITRA DUTA SENTOSA TBK.,5,KMDS, DIRECTOR ,KURNIAMITRA DUTA SENTOSA TBK.
 CHARLI ,KURNIAMITRA DUTA SENTOSA TBK.,5,KMDS, DIRECTOR ,KURNIAMITRA DUTA SENTOSA TBK.
 DEWI IRIANTY WIJAYA ,KURNIAMITRA DUTA SENTOSA TBK.,5,KMDS, DIRECTOR ,KURNIAMITRA DUTA SENTOSA TBK.
 DION AMAURY ,KURNIAMITRA DUTA SENTOSA TBK.,5,KMDS, DIRECTOR ,KURNIAMITRA DUTA SENTOSA TBK.
 MARTINUS SUBANDI SINARYA ,KIRANA MEGATARA TBK.,5,KMTR, PRESIDENT DIRECTOR ,KIRANA MEGATARA TBK.
 JENNY WIDJAJA ,KIRANA MEGATARA TBK.,5,KMTR, DIRECTOR ,KIRANA MEGATARA TBK.
 ACHMAD EFFENDI ,KIRANA MEGATARA TBK.,5,KMTR, DIRECTOR ,KIRANA MEGATARA TBK.
 HENDY ENDARWAN ,KIRANA MEGATARA TBK.,5,KMTR, DIRECTOR ,KIRANA MEGATARA TBK.
 HO WAI LEONG ,KIRANA MEGATARA TBK.,5,KMTR, DIRECTOR ,KIRANA MEGATARA TBK.
 ANDRY BUDIMAN LIMAWAN ,KOBEXINDO TRACTORS TBK.,5,KOBX, PRESIDENT DIRECTOR ,KOBEXINDO TRACTORS TBK.
 MARTIO ,KOBEXINDO TRACTORS TBK.,5,KOBX, DIRECTOR ,KOBEXINDO TRACTORS TBK.
 BONIFASIUS SURYOWIRAWAN ,KOBEXINDO TRACTORS TBK.,5,KOBX, DIRECTOR ,KOBEXINDO TRACTORS TBK.
 WIWIT HADI SUWITO ,KOBEXINDO TRACTORS TBK.,5,KOBX, DIRECTOR ,KOBEXINDO TRACTORS TBK.
 JHONLY PETBUN DAVID RUNTU ,KOBEXINDO TRACTORS TBK.,5,KOBX, DIRECTOR ,KOBEXINDO TRACTORS TBK.
 KAN EDDY ,KOKOH EXA NUSANTARA TBK.,5,KOCI, PRESIDENT DIRECTOR ,KOKOH EXA NUSANTARA TBK.
 LIE ELLI SARINIYUDEWI HALIM ,KOKOH EXA NUSANTARA TBK.,5,KOCI, DIRECTOR ,KOKOH EXA NUSANTARA TBK.
 THICHET SRISURIYON ,KOKOH INTI AREBAMA TBK,5,KOIN, PRESIDENT DIRECTOR ,KOKOH INTI AREBAMA TBK
 PAVARET LILA ,KOKOH INTI AREBAMA TBK,5,KOIN, VICE PRESIDENT ,KOKOH INTI AREBAMA TBK
 SURAWIT RATTANAWAREE ,KOKOH INTI AREBAMA TBK,5,KOIN, VICE PRESIDENT ,KOKOH INTI AREBAMA TBK
 SARAN KAITIWONG ,KOKOH INTI AREBAMA TBK,5,KOIN, DIRECTOR ,KOKOH INTI AREBAMA TBK
 KITTIKUN THONGDEJSRI ,KOKOH INTI AREBAMA TBK,5,KOIN, DIRECTOR ,KOKOH INTI AREBAMA TBK
 PATTARAPHON CHARTTONGKUM ,KOKOH INTI AREBAMA TBK,5,KOIN, DIRECTOR ,KOKOH INTI AREBAMA TBK
 Y AGUNG KUNCORO HADI ,KOKOH INTI AREBAMA TBK,5,KOIN, DIRECTOR ,KOKOH INTI AREBAMA TBK
 GAO JING ,KOKA INDONESIA TBK.,5,KOKA, PRESIDENT DIRECTOR ,KOKA INDONESIA TBK.
  ,KOKA INDONESIA TBK.,5,KOKA, DIRECTOR ,KOKA INDONESIA TBK.
 PEI YAXING ,KOKA INDONESIA TBK.,5,KOKA, DIRECTOR ,KOKA INDONESIA TBK.
 SUGIANTO KOLIM ,PERDANA BANGUN PUSAKA TBK,5,KONI, PRESIDENT DIRECTOR ,PERDANA BANGUN PUSAKA TBK
 RUDI LAUW ,PERDANA BANGUN PUSAKA TBK,5,KONI, DIRECTOR ,PERDANA BANGUN PUSAKA TBK
 BUNTARAM GONDOMARTONO ,PERDANA BANGUN PUSAKA TBK,5,KONI, DIRECTOR ,PERDANA BANGUN PUSAKA TBK
 SAID AUGUST PUTRA ,MITRA ENERGI PERSADA TBK.,5,KOPI, PRESIDENT DIRECTOR ,MITRA ENERGI PERSADA TBK.
 HUSNI HERON ,MITRA ENERGI PERSADA TBK.,5,KOPI, DIRECTOR ,MITRA ENERGI PERSADA TBK.
 MOHAMAD PRAPANCA ,DMS PROPERTINDO TBK.,5,KOTA, PRESIDENT DIRECTOR ,DMS PROPERTINDO TBK.
 ADRIANSYAH AKBAR ,DMS PROPERTINDO TBK.,5,KOTA, DIRECTOR ,DMS PROPERTINDO TBK.
 GEMA PRATAMA ,DMS PROPERTINDO TBK.,5,KOTA, DIRECTOR ,DMS PROPERTINDO TBK.
 HARY TANOESOEDIBJO ,MNC TOURISM INDONESIA TBK.,5,KPIG, PRESIDENT DIRECTOR ,MNC TOURISM INDONESIA TBK.
 M. BUDI RUSTANTO ,MNC TOURISM INDONESIA TBK.,5,KPIG, VICE PRESIDENT ,MNC TOURISM INDONESIA TBK.
 ANDRIAN BUDI UTAMA ,MNC TOURISM INDONESIA TBK.,5,KPIG, VICE PRESIDENT ,MNC TOURISM INDONESIA TBK.
 MICHAEL STEFAN DHARMAJAYA ,MNC TOURISM INDONESIA TBK.,5,KPIG, DIRECTOR ,MNC TOURISM INDONESIA TBK.
 ALEX WARDHANA ,MNC TOURISM INDONESIA TBK.,5,KPIG, DIRECTOR ,MNC TOURISM INDONESIA TBK.
 JUNITA SARI UJUNG ,MNC TOURISM INDONESIA TBK.,5,KPIG, DIRECTOR ,MNC TOURISM INDONESIA TBK.
 RIDAWATY ,MNC TOURISM INDONESIA TBK.,5,KPIG, DIRECTOR ,MNC TOURISM INDONESIA TBK.
 MUHAMAD AKBAR ,KRAKATAU STEEL (PERSERO) TBK.,5,KRAS, PRESIDENT DIRECTOR ,KRAKATAU STEEL (PERSERO) TBK.
 DANIEL FITZGERALD LIMAN ,KRAKATAU STEEL (PERSERO) TBK.,5,KRAS, DIRECTOR ,KRAKATAU STEEL (PERSERO) TBK.
 HERNOWO ,KRAKATAU STEEL (PERSERO) TBK.,5,KRAS, DIRECTOR ,KRAKATAU STEEL (PERSERO) TBK.
 SURYANTORO WALUYO ,KRAKATAU STEEL (PERSERO) TBK.,5,KRAS, DIRECTOR ,KRAKATAU STEEL (PERSERO) TBK.
 SIDIK DARUSULISTYO ,KRAKATAU STEEL (PERSERO) TBK.,5,KRAS, DIRECTOR ,KRAKATAU STEEL (PERSERO) TBK.
 BUDI SANTOSO ASMADI ,QUANTUM CLOVERA INVESTAMA TBK.,5,KREN, PRESIDENT DIRECTOR ,QUANTUM CLOVERA INVESTAMA TBK.
 INDERA HIDAYAT ,QUANTUM CLOVERA INVESTAMA TBK.,5,KREN, DIRECTOR ,QUANTUM CLOVERA INVESTAMA TBK.
 WILLIAM TENG ,BANGUN KARYA PERKASA JAYA TBK.,5,KRYA, PRESIDENT DIRECTOR ,BANGUN KARYA PERKASA JAYA TBK.
 BRIGITTA NOTOATMODJO ,BANGUN KARYA PERKASA JAYA TBK.,5,KRYA, DIRECTOR ,BANGUN KARYA PERKASA JAYA TBK.
 NADIRA ZATINA KAMIL ,BANGUN KARYA PERKASA JAYA TBK.,5,KRYA, DIRECTOR ,BANGUN KARYA PERKASA JAYA TBK.
 FERDINAND ARYANTO ,KENTANIX SUPRA INTERNATIONAL TBK.,5,KSIX, PRESIDENT DIRECTOR ,KENTANIX SUPRA INTERNATIONAL TBK.
 SENTOT SUDARYONO ,KENTANIX SUPRA INTERNATIONAL TBK.,5,KSIX, DIRECTOR ,KENTANIX SUPRA INTERNATIONAL TBK.
 DANIEL PERMADI PRIBADI ,KENTANIX SUPRA INTERNATIONAL TBK.,5,KSIX, DIRECTOR ,KENTANIX SUPRA INTERNATIONAL TBK.
 JANNIE ANDAJANI ,KENTANIX SUPRA INTERNATIONAL TBK.,5,KSIX, DIRECTOR ,KENTANIX SUPRA INTERNATIONAL TBK.
 JOSEF KANDIAWAN ,ACE OLDFIELDS TBK.,5,KUAS, PRESIDENT DIRECTOR ,ACE OLDFIELDS TBK.
 ALBERT KANDIAWAN ,ACE OLDFIELDS TBK.,5,KUAS, DIRECTOR ,ACE OLDFIELDS TBK.
 IRWIN ALLEN POERNOMO ,ACE OLDFIELDS TBK.,5,KUAS, DIRECTOR ,ACE OLDFIELDS TBK.
 KURNIA NGATIMIN ,GREEN POWER GROUP TBK.,5,LABA, DIRECTOR ,GREEN POWER GROUP TBK.
 CHEN XIAO XIAO ,GREEN POWER GROUP TBK.,5,LABA, PRESIDENT DIRECTOR ,GREEN POWER GROUP TBK.
 WAHYU EKA SAPUTRA ,GREEN POWER GROUP TBK.,5,LABA, DIRECTOR ,GREEN POWER GROUP TBK.
 FX YOSHUA RAINTJUNG ,UBC MEDICAL INDONESIA TBK.,5,LABS, PRESIDENT DIRECTOR ,UBC MEDICAL INDONESIA TBK.
 MARCELLA ANGELIN ,UBC MEDICAL INDONESIA TBK.,5,LABS, DIRECTOR ,UBC MEDICAL INDONESIA TBK.
 DR. YUDHA INDRAWIRAWAN ,UBC MEDICAL INDONESIA TBK.,5,LABS, DIRECTOR ,UBC MEDICAL INDONESIA TBK.
 JAMES BUDIARTO TJANDRAKESUMA ,JASA BERDIKARI LOGISTICS TBK.,5,LAJU, PRESIDENT DIRECTOR ,JASA BERDIKARI LOGISTICS TBK.
 ANTONIUS EDISON SIREGAR ,JASA BERDIKARI LOGISTICS TBK.,5,LAJU, DIRECTOR ,JASA BERDIKARI LOGISTICS TBK.
 SURYADI ,TRIMITRA PROPERTINDO TBK.,5,LAND, PRESIDENT DIRECTOR ,TRIMITRA PROPERTINDO TBK.
 WILLY ,TRIMITRA PROPERTINDO TBK.,5,LAND, DIRECTOR ,TRIMITRA PROPERTINDO TBK.
 JAMAL ABDUL NASIR BAMADHAJ ,LEYAND INTERNATIONAL TBK.,5,LAPD, PRESIDENT DIRECTOR ,LEYAND INTERNATIONAL TBK.
 BAMBANG RAHARDJA BURHAN ,LEYAND INTERNATIONAL TBK.,5,LAPD, DIRECTOR ,LEYAND INTERNATIONAL TBK.
 KIRAN RAJ ,LEYAND INTERNATIONAL TBK.,5,LAPD, DIRECTOR ,LEYAND INTERNATIONAL TBK.
" HONG SHIEH YUNG, TRAVIS (HONG XUEYONG, TRAVIS) ",LEYAND INTERNATIONAL TBK.,5,LAPD, DIRECTOR ,LEYAND INTERNATIONAL TBK.
 ACHMAD RIFKY ,LEYAND INTERNATIONAL TBK.,5,LAPD, DIRECTOR ,LEYAND INTERNATIONAL TBK.
" DR. IR. LUKMAN PURNOMOSIDI, MBA ",EUREKA PRIMA JAKARTA TBK.,5,LCGP, PRESIDENT DIRECTOR ,EUREKA PRIMA JAKARTA TBK.
 IR. IMRAN SYAMNIR ,EUREKA PRIMA JAKARTA TBK.,5,LCGP, DIRECTOR ,EUREKA PRIMA JAKARTA TBK.
" DJOKO RACHMADHY SE., MM ",EUREKA PRIMA JAKARTA TBK.,5,LCGP, DIRECTOR ,EUREKA PRIMA JAKARTA TBK.
 IR. HERVIAN TAHIER ,EUREKA PRIMA JAKARTA TBK.,5,LCGP, DIRECTOR ,EUREKA PRIMA JAKARTA TBK.
 KENNY LIM ,LCK GLOBAL KEDATON TBK.,5,LCKM, PRESIDENT DIRECTOR ,LCK GLOBAL KEDATON TBK.
 PAIMIN ,LCK GLOBAL KEDATON TBK.,5,LCKM, DIRECTOR ,LCK GLOBAL KEDATON TBK.
 EDDY KURNIAWAN LOGAM ,LOGINDO SAMUDRAMAKMUR TBK.,5,LEAD, PRESIDENT DIRECTOR ,LOGINDO SAMUDRAMAKMUR TBK.
 JAMES PANG WEI KUAN ,LOGINDO SAMUDRAMAKMUR TBK.,5,LEAD, VICE PRESIDEN DIRECTOR ,LOGINDO SAMUDRAMAKMUR TBK.
 RAGIL MARZUKI SUMARNO ,LOGINDO SAMUDRAMAKMUR TBK.,5,LEAD, DIRECTOR ,LOGINDO SAMUDRAMAKMUR TBK.
 MEYRICK ALDA SUMANTRI ,LOGINDO SAMUDRAMAKMUR TBK.,5,LEAD, DIRECTOR ,LOGINDO SAMUDRAMAKMUR TBK.
 MOUNIR KLINKHAMER ,LOGINDO SAMUDRAMAKMUR TBK.,5,LEAD, DIRECTOR ,LOGINDO SAMUDRAMAKMUR TBK.
 ERLANGGA KSATRIA ,IMAGO MULIA PERSADA TBK.,5,LFLO, PRESIDENT DIRECTOR ,IMAGO MULIA PERSADA TBK.
 IKA KUSUMA PUTRI B ,IMAGO MULIA PERSADA TBK.,5,LFLO, DIRECTOR ,IMAGO MULIA PERSADA TBK.
 WIANTO ,MSIG LIFE INSURANCE INDONESIA TBK.,5,LIFE, PRESIDENT DIRECTOR ,MSIG LIFE INSURANCE INDONESIA TBK.
 TOMOYUKI MONDEN ,MSIG LIFE INSURANCE INDONESIA TBK.,5,LIFE, VICE PRESIDEN DIRECTOR ,MSIG LIFE INSURANCE INDONESIA TBK.
 HERMAN SULISTYO ,MSIG LIFE INSURANCE INDONESIA TBK.,5,LIFE, DIRECTOR ,MSIG LIFE INSURANCE INDONESIA TBK.
 KEN TERADA ,MSIG LIFE INSURANCE INDONESIA TBK.,5,LIFE, DIRECTOR ,MSIG LIFE INSURANCE INDONESIA TBK.
 EIJI TAKAHASHI ,MSIG LIFE INSURANCE INDONESIA TBK.,5,LIFE, DIRECTOR ,MSIG LIFE INSURANCE INDONESIA TBK.
 ELLY SUSANTI ,MSIG LIFE INSURANCE INDONESIA TBK.,5,LIFE, DIRECTOR ,MSIG LIFE INSURANCE INDONESIA TBK.
 KANISHKA GAYAN WICKRAMA ,LINK NET TBK.,5,LINK, PRESIDENT DIRECTOR ,LINK NET TBK.
 YOSAFAT MARHASAK HUTAGALUNG ,LINK NET TBK.,5,LINK, DIRECTOR ,LINK NET TBK.
 CHENG YONG KIM ,LION METAL WORKS TBK.,5,LION, PRESIDENT DIRECTOR ,LION METAL WORKS TBK.
 LIM TAI PONG ,LION METAL WORKS TBK.,5,LION, DIRECTOR ,LION METAL WORKS TBK.
 IR. H. KRISANT SOPHIAAN MSC ,LION METAL WORKS TBK.,5,LION, DIRECTOR ,LION METAL WORKS TBK.
 TJOE TJOE PENG (LAWER SUPENDI) ,LION METAL WORKS TBK.,5,LION, DIRECTOR ,LION METAL WORKS TBK.
 ELLIES KISWOTO ,HOMECO VICTORIA MAKMUR TBK.,5,LIVE, PRESIDENT DIRECTOR ,HOMECO VICTORIA MAKMUR TBK.
 INKA WIDJOJO ,HOMECO VICTORIA MAKMUR TBK.,5,LIVE, DIRECTOR ,HOMECO VICTORIA MAKMUR TBK.
 TENNY HARISKA SURJOTEDJO ,HOMECO VICTORIA MAKMUR TBK.,5,LIVE, DIRECTOR ,HOMECO VICTORIA MAKMUR TBK.
NAME ,LIMAS INDONESIA MAKMUR TBK,5,LMAS, TYPE ,LIMAS INDONESIA MAKMUR TBK
 ITEK BACHTIAR ,LIMAS INDONESIA MAKMUR TBK,5,LMAS, DIRECTOR ,LIMAS INDONESIA MAKMUR TBK
 SUPARMAN TJAHAJA ,LIMAS INDONESIA MAKMUR TBK,5,LMAS, MORE THAN 5% ,LIMAS INDONESIA MAKMUR TBK
 EKA SUHENDRA ,LIMAS INDONESIA MAKMUR TBK,5,LMAS, MORE THAN 5% ,LIMAS INDONESIA MAKMUR TBK
 PENGENDALI SAHAM ,LIMAS INDONESIA MAKMUR TBK,5,LMAS, SAHAM PENGENDALI ,LIMAS INDONESIA MAKMUR TBK
 NON PENGENDALI SAHAM ,LIMAS INDONESIA MAKMUR TBK,5,LMAS, SAHAM NON PENGENDALI ,LIMAS INDONESIA MAKMUR TBK
 SAHAM TREASURY ,LIMAS INDONESIA MAKMUR TBK,5,LMAS, TREASURY STOCK ,LIMAS INDONESIA MAKMUR TBK
 MASYARAKAT WARKAT ,LIMAS INDONESIA MAKMUR TBK,5,LMAS, MASYARAKAT WARKAT ,LIMAS INDONESIA MAKMUR TBK
 MASYARAKAT NON WARKAT ,LIMAS INDONESIA MAKMUR TBK,5,LMAS, MASYARAKAT NON WARKAT ,LIMAS INDONESIA MAKMUR TBK
 KARTIKO SOEMARGONO ,LUPROMAX PELUMAS INDONESIA TBK.,5,LMAX, PRESIDENT DIRECTOR ,LUPROMAX PELUMAS INDONESIA TBK.
 SOFIA TANIZAR ,LUPROMAX PELUMAS INDONESIA TBK.,5,LMAX, DIRECTOR ,LUPROMAX PELUMAS INDONESIA TBK.
 HIDAYAT ALIM ,LANGGENG MAKMUR INDUSTRI TBK.,5,LMPI, PRESIDENT DIRECTOR ,LANGGENG MAKMUR INDUSTRI TBK.
 KOSASIH KOENAWAN ,LANGGENG MAKMUR INDUSTRI TBK.,5,LMPI, DIRECTOR ,LANGGENG MAKMUR INDUSTRI TBK.
 IRAWAN ALIM ,LANGGENG MAKMUR INDUSTRI TBK.,5,LMPI, DIRECTOR ,LANGGENG MAKMUR INDUSTRI TBK.
 PANGESTU ALIM ,LANGGENG MAKMUR INDUSTRI TBK.,5,LMPI, DIRECTOR ,LANGGENG MAKMUR INDUSTRI TBK.
 TJOE TJOE PENG (LAWER SUPENDI) ,LIONMESH PRIMA TBK.,5,LMSH, PRESIDENT DIRECTOR ,LIONMESH PRIMA TBK.
 TJHAI TJHIN KIAT ,LIONMESH PRIMA TBK.,5,LMSH, DIRECTOR ,LIONMESH PRIMA TBK.
 IR. PUJIANTO SETIADI MBA ,LIONMESH PRIMA TBK.,5,LMSH, DIRECTOR ,LIONMESH PRIMA TBK.
 WAHYU DWI JATMIKO ,LOGISTICSPLUS INTERNATIONAL TBK.,5,LOPI, PRESIDENT DIRECTOR ,LOGISTICSPLUS INTERNATIONAL TBK.
 BUDI MULYANA ,LOGISTICSPLUS INTERNATIONAL TBK.,5,LOPI, DIRECTOR ,LOGISTICSPLUS INTERNATIONAL TBK.
 MARLO BUDIMAN ,LIPPO CIKARANG TBK,5,LPCK, PRESIDENT DIRECTOR ,LIPPO CIKARANG TBK
